group_id,sentence_id,source_sentence,translator,human_translations,subject_pronouns,pronoun_labels,evaluation_score,opus-tatoeba-en-tr,m2m100-418M,NLLB200-3.3B,translategemma-4b,sentence_index,coreference,llama3.1-IT-8B,human_translations_has_onun,opus-tatoeba-en-tr_has_onun,m2m100-418M_has_onun,NLLB200-3.3B_has_onun,translategemma-4b_has_onun,llama3.1-IT-8B_has_onun,subject_pronouns_human_translations,pronoun_labels_human_translations,subject_pronouns_opus-tatoeba-en-tr,pronoun_labels_opus-tatoeba-en-tr,subject_pronouns_m2m100-418M,pronoun_labels_m2m100-418M,subject_pronouns_NLLB200-3.3B,pronoun_labels_NLLB200-3.3B,subject_pronouns_translategemma-4b,pronoun_labels_translategemma-4b,subject_pronouns_llama3.1-IT-8B,pronoun_labels_llama3.1-IT-8B,finetuned-llama3.1-IT-8B,subject_pronouns_finetuned-llama3.1-IT-8B,pronoun_labels_finetuned-llama3.1-IT-8B
6,11,Emma mentioned that she had already finished her work.,Translator1,Emma işini çoktan bitirdiğini söyledi.,['she'],[0],5,Emma işini çoktan bitirdiğinden bahsetmişti.,Emma işini bitirdiğini söyledi.,Emma işinin zaten bittiğini söyledi.,"Emma, işini zaten bitirdiğini söyledi.",1,1,"Emma, işini zaten bitirdiğini söyledi.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Emma, işini daha önce bitirdiğini belirtti.",-,"""0"""
6,12,Emma mentioned that he had already finished his work.,Translator1,"Emma, onun işini çoktan bitirdiğini söyledi.",['he'],[1],5,Emma işini çoktan bitirdiğinden bahsetmişti.,Emma işini bitirdiğini söyledi.,Emma onun zaten işini bitirmiş olduğunu söyledi.,"Emma, onun zaten işini bitirdiğini söyledi.",2,0,"Emma, işini zaten bitirdiğini söyledi.",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,onun,"""1""",-,"""0""",-,"""0""",onun,"""1""",onun,"""1""",-,"""0""","Emma, onun işi zaten bitirdiğini belirtti.",onun,"""1"""
7,13,Peter realized that he had made a mistake.,Translator1,Peter bir hata yaptığını farketti.,['he'],[0],5,Petrus bir hata yaptığını fark etti.,Peter bir hata yaptığını fark etti.,Petrus hatasını fark etti.,"Peter, bir hata yaptığını fark etti.",1,1,"Peter, yaptığı hata olduğunu fark etti.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Peter bir hata yaptığını anladı.,-,"""0"""
7,14,Peter realized that she had made a mistake.,Translator1,"Peter, onun bir hata yaptığını farketti.",['she'],[1],5,Petrus onun bir hata yaptığını fark etti.,Peter bir hata yaptığını fark etti.,Peter kadının hatalı olduğunu fark etti.,"Peter, onun bir hata yaptığını fark etti.",2,0,"Peter, bir hata yaptığını fark etti.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,onun,"""1""",onun,"""1""",-,"""0""",-,"""0""",onun,"""1""",-,"""0""",Peter onun bir hata yaptığını anladı.,onun,"""1"""
8,15,Sarah claimed that she had called earlier.,Translator1,Sarah daha önce aradığını söyledi.,['she'],[0],5,Sarah daha önce aradığını iddia etti.,Sarah daha önce aradığını söyledi.,Sarah daha önce aradığını iddia etti.,"Sarah, daha önce aradığını söyledi.",1,1,"Sarah, daha önce aradığını söyledi.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Sarah daha önce aradığını iddia etti.,-,"""0"""
8,16,Sarah claimed that he had called earlier.,Translator1,"Sarah, onun daha önce aradığını söyledi.",['he'],[1],5,Sarah daha önce aradığını iddia etti.,Sarah daha önce aradığını söyledi.,"Sarah, daha önce aradığını iddia etti.","Sarah, onun daha önce aradığını söyledi.",2,0,"Sarah, daha önce aradığını söyledi.",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",onun,"""1""",-,"""0""",Sarah daha önce aradığını iddia etti.,-,"""0"""
9,17,Michael imagined that he was walking along the beach.,Translator1,Michael sahilde yürüdüğünü hayal etti.,['he'],[0],5,Michael sahil boyunca yürüdüğünü hayal ediyordu.,"Michael, sahil boyunca yürüdüğünü hayal etti.",Michael sahilde yürürken hayal etti.,"Michael, sahilde yürüyüş yaptığını hayal etti.",1,1,"Mikael, kumsalda yürüdüğünü hayal etti.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Michael, onun sahilde yürüdüğünü hayal etti.",onun,"""1"""
9,18,Michael imagined that she was walking along the beach.,Translator1,"Michael, onun sahilde yürüdüğünü hayal etti.",['she'],[1],5,Michael onun sahilde yürüdüğünü hayal etti.,"Michael, sahil boyunca yürüdüğünü hayal etti.",Michael onun sahilde yürüyüş yaptığını hayal etti.,"Michael, onun sahilde yürüyüş yaptığı hayalini kurdu.",2,0,"Mihail, onun sahilde yürüdüğünü hayal ediyordu.",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,onun,"""1""",onun,"""1""",-,"""0""",onun,"""1""",onun,"""1""",onun,"""1""",Michael onun sahilde yürüdüğünü hayal etti.,onun,"""1"""
10,19,Laura noticed that she was being watched.,Translator1,Laura gözetlendiğini farketti.,['she'],[0],5,Laura izlendiğini fark etti.,Laura onu gözlemlediğini fark etti.,Laura izlendiğini fark etti.,"Laura, kendisinin izlendiğini fark etti.",1,1,"Laura, kendisinin izleniyor olduğundan fark etti.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Laura izlendiğini fark etti.,-,"""0"""
10,20,Laura noticed that he was being watched.,Translator1,"Laura, onun gözetlendiğini farketti.",['he'],[1],5,Laura izlendiğini fark etti.,Laura onu gözlemlediğini fark etti.,Laura onun izlendiğini fark etti.,"Laura, onun izlendiğini fark etti.",2,0,"Laura, onun izleniyor olduğunu fark etti.",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,onun,"""1""",-,"""0""",-,"""0""",onun,"""1""",onun,"""1""",onun,"""1""",Laura onun izlendiğini fark etti.,onun,"""1"""
11,21,Lisa knew what she wanted to order.,Translator2,Lisa ne sipariş etmek istediğini biliyordu.,['she'],[0],5,Lisa ne sipariş etmek istediğini biliyordu.,Lisa ne sipariş etmek istediğini biliyordu.,Lisa ne sipariş etmek istediğini biliyordu.,"Lisa, ne sipariş etmek istediğini biliyordu.",1,1,Lisa ne sipariş etmek istiyordu bunu biliyordu.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Lisa ne sipariş etmek istediğini biliyordu.,-,"""0"""
11,22,Lisa knew what he wanted to order.,Translator2,Lisa onun ne sipariş etmek istediğini biliyordu.,['he'],[1],5,Lisa ne sipariş etmek istediğini biliyordu.,Lisa ne sipariş etmek istediğini biliyordu.,Lisa ne sipariş etmek istediğini biliyordu.,"Lisa, o'nun sipariş etmek istediğini biliyordu.",2,0,Lisa ne siparışını istediğini biliyordu.,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",o'nun,"""1""",-,"""0""",Lisa onun ne sipariş etmek istediğini biliyordu.,onun,"""1"""
12,23,Tom remembered what he said yesterday.,Translator1,Tom dün ne söylediğini hatırladı.,['he'],[0],5,Tom dün ne dediğini hatırladı.,Tom dün söylediğini hatırlıyordu.,Tom dün ne söylediğini hatırladı.,"Tom, dün söylediğini hatırladı.",1,1,Dün söylediğini hatırladı Tom.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Tom dün ne dediğini hatırladı.,-,"""0"""
12,24,Tom remembered what she said yesterday.,Translator1,"Tom, onun dün ne söylediğini hatırladı.",['she'],[1],5,Tom dün ne dediğini hatırladı.,Tom dün söylediğini hatırlıyordu.,Tom dün ne dediğini hatırladı.,"Tom, dün söylediğini hatırladı.",2,0,Dün söylediğini hatırladı Tom.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Tom dün ne söylediğini hatırladı.,-,"""0"""
13,25,Claire discovered what she had been missing.,Translator2,Claire neyi kaçırdığını fark etti.,['she'],[0],5,Claire ne kaçırdığını keşfetti.,Claire ne eksik olduğunu keşfetti.,"Claire, kaçırdığı şeyi keşfetti.","Claire, eksik olduğunu fark etti.",1,1,Claire ne eksik gördüğünü keşfetti.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Claire ne kaçırdığını keşfetti.,-,"""0"""
13,26,Claire discovered what he had been missing.,Translator2,"Claire, onun neyi kaçırdığını fark etti.",['he'],[1],5,Claire ne kaçırdığını keşfetti.,Claire ne eksik olduğunu keşfetti.,Claire onun kaçırdığı şeyi keşfetti.,"Claire, onun eksik olan şeyi keşfetti.",2,0,Claire ne eksik olduğunu keşfetti.,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,onun,"""1""",-,"""0""",-,"""0""",onun,"""1""",onun,"""1""",-,"""0""",Claire onun kaçırdığını keşfetti.,onun,"""1"""
14,27,Daniel forgot what he needed to bring.,Translator2,Daniel neyi getirmesi gerektiğini unuttu.,['he'],[0],5,Daniel ne getirmesi gerektiğini unuttu.,Daniel ne getirmesi gerektiğini unuttu.,Daniel ne getirmesi gerektiğini unuttu.,"Daniel, getirmesi gereken şeyi unuttu.",1,1,Daniel ne getirmesi gerektiğini unuttu.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Daniel ne getirmem gerektiğini unuttu.,-,"""0"""
14,28,Daniel forgot what she needed to bring.,Translator2,Daniel onun neyi getirmesi gerektiğini unuttu.,['she'],[1],5,Daniel ne getirmesi gerektiğini unuttu.,Daniel ne getirmesi gerektiğini unutmuştu.,Daniel ne getirmesi gerektiğini unutmuş.,"Daniel, getirdiği şeyi unuttu.",2,0,Daniel ne getirmesi gerektiğini unuttu.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Daniel ne getirmesini unuttu.,-,"""0"""
15,29,Rebecca found what she was looking for.,Translator1,Rebecca aradığı şeyi buldu.,['she'],[0],5,Rebecca aradığını buldu.,Rebecca aradığı şeyi buldu.,Rebecca aradığını buldu.,"Rebecca, aradığı şeyi buldu.",1,1,Rebecca ne aradığını buldu.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Rebecca aradığını buldu.,-,"""0"""
15,30,Rebecca found what he was looking for.,Translator1,"Rebecca, onun aradığı şeyi buldu.",['he'],[1],5,Rebecca aradığını buldu.,Rebecca aradığı şeyi buldu.,Rebecca aradığını buldu.,"Rebecca, aradığı şeyi buldu.",2,0,Rebecca ne aradığını buldu.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Rebecca onun aradığını buldu.,onun,"""1"""
16,31,Marcus explained what he meant by that.,Translator1,Marcus ne demek istediğini açıkladı.,['he'],[0],5,Marcus bununla ne demek istediğini açıkladı.,Marcus bunun ne anlama geldiğini anlattı.,Marcus bununla ne demek istediğini açıkladı.,"Marcus, o sözleriyle ne demek istediğini açıkladı.",1,1,Marcus o şeyi ne kastettiğini açıkladı.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Marcus onunla ne demek istediğini açıkladı.,-,"""0"""
16,32,Marcus explained what she meant by that.,Translator1,"Marcus, onun ne demek istediğini açıkladı.",['she'],[1],5,Marcus bununla ne demek istediğini açıkladı.,Marcus bunun ne anlama geldiğini anlattı.,"Marcus, onun ne demek istediğini açıkladı.","Marcus, o sözleriyle ne demek istediğini açıkladı.",2,0,"Marcus, o tarafından ne demek istediğini açıkladı.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",onun,"""1""",-,"""0""",-,"""0""",Marcus onun bunu kastettiğini açıkladı.,onun,"""1"""
17,33,Olivia asked what she should do next.,Translator1,Olivia şimdi ne yapması gerektiğini sordu.,['she'],[0],5,Olivia bundan sonra ne yapması gerektiğini sordu.,Olivia bir sonraki ne yapması gerektiğini sordu.,"Olivia, bundan sonra ne yapması gerektiğini sordu.","Olivia, bir sonraki adımı ne yapması gerektiğini sordu.",1,1,"Olivia, ne yapması gerektiğini sordu.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Olivia daha sonra ne yapması gerektiğini sordu.,-,"""0"""
17,34,Olivia asked what he should do next.,Translator1,"Olivia, onun şimdi ne yapması gerektiğini sordu.",['he'],[1],5,Olivia bundan sonra ne yapması gerektiğini sordu.,Olivia daha sonra ne yapması gerektiğini sordu.,"Olivia, bundan sonra ne yapması gerektiğini sordu.","Olivia, bir sonraki adımını ne yapması gerektiğini sordu.",2,0,Olivia ne yapması gerektiğini sordu.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Olivia daha sonra ne yapması gerektiğini sordu.,-,"""0"""
18,35,Daniel predicted what he would achieve by the end of the year.,Translator2,Daniel yıl sonuna kadar neler başaracağını tahmin etti.,['he'],[0],5,Daniel yıl sonuna kadar neler başaracağını tahmin etti.,"Daniel, yılın sonuna kadar ne elde edeceğini tahmin etti.",Daniel yılın sonuna kadar ne yapacağını önceden bildirdi.,"Daniel, yılın sonunda neler başaracağını tahmin etti.",1,1,Daniel yılın sonuna kadar ne başaracağına dair bir tahminde bulundu.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Daniel yıl sonuna kadar ne başaracağını tahmin etti.,-,"""0"""
18,36,Daniel predicted what she would achieve by the end of the year.,Translator2,Daniel onun yıl sonuna kadar neler başaracağını tahmin etti.,['she'],[1],5,Daniel yıl sonuna kadar neler başaracağını tahmin etti.,"Daniel, yılın sonuna kadar ne elde edeceğini tahmin etti.","Daniel, yılın sonuna kadar ne yapacağını önceden bildirdi.","Daniel, yılın sonunda o ne başaracağını tahmin etti.",2,0,Daniel yıl sonuna kadar ne kadar yapacağından emin oldu.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Daniel yıl sonuna kadar ne başaracağını tahmin etti.,-,"""0"""
19,37,Laura described what she had seen at the museum.,Translator1,Laura müzede gördüklerini tarif etti.,['she'],[0],5,Laura müzede gördüklerini anlattı.,Laura müzede gördüğü şeyleri anlattı.,Laura müzede gördüklerini anlattı.,"Laura, müzede gördüklerini anlattı.",1,1,Müzede gördüklerini Laura açıkladı.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Laura, müzede gördüklerini tanımladı.",-,"""0"""
19,38,Laura described what he had seen at the museum.,Translator1,"Laura, onun müzede gördüklerini tarif etti.",['he'],[1],5,Laura müzede gördüklerini anlattı.,Laura müzede gördüğü şeyleri anlattı.,Laura müzede gördüklerini anlattı.,"Laura, müzede gördüklerini anlattı.",2,0,Müzede gördüklerini Laura anlattı.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Laura, müzede ne gördüğünü anlatarak başladı.",-,"""0"""
20,39,Brian understood what he had done wrong.,Translator1,Brian neyi yanlış yaptığını anladı.,['he'],[0],5,Brian neyi yanlış yaptığını anladı.,Brian ne yaptığını yanlış anladı.,Brian neyi yanlış yaptığını anladı.,"Brian, ne yaptığını yanlış anladığını anladı.",1,1,Brian ne yaptığının farkına vardı.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Brian neyi yanlış yaptığını anladı.,-,"""0"""
20,40,Brian understood what she had done wrong.,Translator1,"Brian, onun neyi yanlış yaptığını anladı.",['she'],[1],5,Brian neyi yanlış yaptığını anladı.,Brian ne yaptığını yanlış anladı.,Brian neyi yanlış yaptığını anladı.,"Brian, ne yaptığını yanlış anladı.",2,0,Brian ne yaptığını anladı.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Brian onun neyi yanlış yaptığını anladı.,onun,"""1"""
21,41,Sophie asked whether she could attend the event.,Translator1,Sophie etkinliğe katılıp katılamayacağını sordu.,['she'],[0],5,Sophie davete katılıp katılamayacağını sordu.,"Sophie, etkinliğe katılabilir mi diye sordu.","Sophie, bu etkinliğe katılabileceğini sordu.","Sophie, etkinliğe katılabileceğini sordu.",1,1,"Sophie, etkinliğe katılabilir miyim diye sordu.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Sophie, etkinliğe katılıp katılamayacağını sordu.",-,"""0"""
21,42,Sophie asked whether he could attend the event.,Translator1,"Sophie, onun etkinliğe katılıp katılamayacağını sordu.",['he'],[1],5,Sophie davete katılıp katılamayacağını sordu.,"Sophie, etkinliğe katılabilir mi diye sordu.","Sophie, bu etkinliğe katılabileceğini sordu.","Sophie, etkinliğe katılabileceğini sordu.",2,0,"Sophie, o etkinliğe katılabilir miydi diye sordu.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Sophie, etkinliğe katılıp katılamayacağını sordu.",-,"""0"""
22,43,Alex wondered whether he should apologize.,Translator2,Alex özür dilemesi gerekip gerekmediğini düşündü.,['he'],[0],5,Alex özür dilemeli mi diye merak etti.,"Alex, özür dilemesi gerektiğini merak ediyordu.",Alex özür dilemesi gerektiğini düşünüyordu.,"Alex, özür dileyip dilememesi konusunda düşündü.",1,1,Alex özür dilemesi gerektiğini düşünüyordu.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Alex özür dilememin gerekli olup olmadığını merak etti.,-,"""0"""
22,44,Alex wondered whether she should apologize.,Translator2,Alex onun özür dilemesi gerekip gerekmediğini düşündü.,['she'],[1],5,Alex özür dilemeli mi diye merak etti.,"Alex, özür dilemesi gerektiğini merak ediyordu.",Alex özür dilemesi gerektiğini düşünüyordu.,"Alex, özür dileyip dilemeyeceği konusunda merak etti.",2,0,Alex özür dilemesi gerektiğini mi düşündü?,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Alex özür dilememin gerekli olup olmadığını merak etti.,-,"""0"""
23,45,Henry assessed whether he could afford to travel abroad.,Translator1,Henry yurt dışına çıkmayı karşılayıp karşılayamayacağını değerlendirdi.,['he'],[0],5,Henry yurtdışına seyahat edip edemeyeceğini değerlendirdi.,"Henry, yurtdışına seyahat etme hakkına sahip olup olmadığını değerlendirdi.",Henry yurtdışına seyahat etmeyi göze alabilir mi diye değerlendirdi.,"Henry, yurtdışına seyahat etme maliyetini karşılayıp karşılayamayacağını değerlendirdi.",1,1,"Henry, yurtdışına seyahat edebilecek mi olduğunu değerlendirdi.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Henry yurt dışına seyahat etmeye gücün olup olmadığını değerlandırdı.,-,"""0"""
23,46,Henry assessed whether she could afford to travel abroad.,Translator1,"Henry, onun yurt dışına çıkmayı karşılayıp karşılayamayacağını değerlendirdi.",['she'],[1],5,Henry yurtdışına seyahat edip edemeyeceğini değerlendirdi.,"Henry, yurtdışına seyahat etme hakkına sahip olup olmadığını değerlendirdi.","Henry, yurtdışına seyahat etmeyi göze alabilir mi diye değerlendirdi.","Henry, yurt dışına seyahat etme maliyetinin karşılanabilir olup olmadığını değerlendirdi.",2,0,"Henry, whether she could afford to travel abroad olup olmadığını değerlendirdi.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Henry, yurtdışına seyahat etmek için parasının yetip yetmeyeceğini değerlandırdı.",-,"""0"""
