source_sentence,original_finetuned_llama_translation
"You might ignore the warning, but I take it seriously.",Uyarmı göze almayabilirsin ama ben ciddiye alırım. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
He came early to help; she showed up just for dessert.,O erken geldi yardım etmek için; o sadece tatlı için geldi. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You complain about the noise, but I like the energy.",Gürültü hakkında şikayet ediyorsun ama ben enerjiden hoşlanıyorum. ​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
She spends her money freely; he saves every coin.,"O, parisini kolayca harcıyor; o, her kuruşunu biriktiriyor. ​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​"
You want comfort; I seek adventure.,"Sen rahatlığı istiyorsun, ben macarayı arıyorum. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
He treats life like a race; she treats it like a journey.,"O, hayatın bir yarışı gibi bakıyor; o ise bir gezi gibi bakıyor. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You stay safe on the shore, but I dive into the waves.",Sen güvenli bir şekilde sahilde kalırsın ama ben dalgalara dalıyorum. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
She speaks with passion; he listens with patience.,"O, tutkusuyla konuşur; o sabırla dinler. ​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​"
"You strive for perfection, while I aim for progress.","Ben ilerleme için çabalarsın, ben de mükemmeliyet için. Bu çelişki, insan doğası ile alakalı. Her neyse, bu çelişki, insan doğası ile alakalı. Her neyse, bu çelişki, insan doğası ile"
"Even the shy students asked questions, while you stayed silent.","Sessiz durduğun sürece, korkulu öğrenciler bile sorular sordular. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
You follow rules blindly; I question everything.,Sen kurallara gözüpek uysun; Ben her şeye soruyorum. ​​​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"She trusts easily, but he doubts constantly.",O kolayca güveniyor ama o sürekli şüphe ediyor. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
You find joy in crowds; I find peace alone.,Sen kalabalıklarda mutluyorsun; Ben yalnız bulurum. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
He builds connections; she builds walls.,"O, bağlantılara investingir; o, duvarlara. ​​​​​​​ ​​​​​​ ​ ​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You avoid challenges, but I welcome them.",Sen zorluklardan kaçınırsın ama ben onları kabul ederim.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
She writes poetry; he studies physics.,"O, şiir yazar; o, fizik çalışır. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You think success is luck, but I think it’s effort.",Başarı'nın şans olduğunu düşünüyorsun ama ben onun çaban olduğunu düşünüyorum. ​​​​​ ​​​​ ​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​ ​​​​
"Even the youngest member contributed ideas, yet you said nothing.","En genç üye bile fikir katkıda bulundu, fakat sen hiçbir şey söylemedin. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You love summer, but I yearn for winter.",Sen yaz mevsimini seviyorsun ama ben kışı özliyorum. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"He arrived early, while she didn’t even bother showing up.","O erken geldi, oysa o sadece gelmeye kıyamadı. ​​​​​​​ ​​​​​​ ​ ​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"I value honesty, but you prefer convenience.",Dürüstlüğü değer veriyorum ama sen rahatlığı tercih ediyorsun. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"She speaks quickly, yet he takes his time to respond.",O çabuk konuşur fakat o cevap vermek için zamanını alır. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You focus on appearance, while I care about substance.","Sen görünüşe bakıyorsun, ben de esana önem veriyorum.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
"He reads novels, but I prefer documentaries.",O romanlar okur ama ben belgesele tercih ederim.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
She practices every day; he plays only when inspired.,"O her gün pratik yapıyor, o sadece ilhamlandığında oynuyor. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You find peace in silence, but I thrive on noise.",Sen sessizlikte huzur bulursun ama ben gürültüde canlanırım. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"He saves every penny, while she spends without thinking.","O, düşündüğü olmadan her kuruşunu biriktiriyor, oysa o harcıyor. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"I enjoy social events, but you always look for an excuse to leave.",Ben sosyal olaylardan hoşlanırım ama sen her zaman ayrılmak için bir bahane arıyorsun. Bu benim için çok sinir bozucu. Lütfen daha fazla dikkat et. Bu yüzden seni sevmiyorum. Çok üzgünüm. Umarım bu konuda daha fazla
"You trust easily, but I question everyone.",Sen kolayca güveniyorsun ama ben herkesi sorguluyorum. ​​​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"She forgives quickly, yet he holds grudges.","O çabuk affederken, o ise eskiyor. Ne tuzağa girmez ki! O, çabuk affederken, o ise eskiyor. Ne tuzağa girmez ki! O, çabuk affederken, o ise eskiyor. Ne tuzağa girmez ki! O,"
"I like order, but you seem to love chaos.",Ben düzeni severim ama sen düzensizliği seviyorsun gibi görünüyorsun.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He follows the rules, while she challenges them.","O, kurallara uyar, oysa o onları test ediyor. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You want quick results, but I believe in patience.",Hızlı sonuçlar istiyorsun ama ben sabıra inanıyorum. ​​​​​​​ ​​​​​​ ​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​
"She dreams big, but he fears failure.",O büyük hayaller kuruyor ama o başarısızdan korkuyor. ​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​
"I took responsibility, but you walked away from it.",Ben sorumluluğu üstledim ama sen ondan uzaklaştın. ​​​​​​​ ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
"He chose security, while I chose adventure.",Ben macereyi seçerken o güvenlik seçti. İki farklı seçim. İki farklı tercih. İki farklı sonuç. İki farklı son. İki farklı bitiş. İki farklı bittiş. İki farklı bitişik. İki farklı bitişken. İki farklı bitişkenler. İki farklı bitişkenleri.
"You may hesitate, but I will take the risk.",Sen tereddüt edebilirsin ama ben riske gireceğim. ​​​​​​​ ​​​​​​​​ ​​​​​​ ​​​ ​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You enjoy staying indoors, whereas I like being outside from dawn to dusk.","Evde kalmaktan hoşlanıyorsun, ben ise güneşin doğuşundan batıya kadar dışarda olmayı seviyorum. İki ayrı görüş var ki bu da içime sinmiş. Ne dersin?.. Bu arada evde kalıp can atıyor musun?.."
"He trusts people easily, but she questions everyone’s intentions.",O insanlara kolayca güvenir fakat o herkesin niyetlerini sorar. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"They follow every rule, while we prefer to bend them when necessary.","Onlar her kurala uyarlar, bizse gerekliyse onları kırmayı tercih ediyoruz. ​​​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"She speaks her mind openly, yet he keeps his thoughts to himself.","O, fikrini açıkça ifade ediyor, fakat o düşündüklerini kendime saklıyor. ​​​​​​​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
"I like planning every detail, but you prefer to act on impulse.",Ben her ayrıntıyı planlamayı severim ama sen cana göre hareket etmeyi tercih ediyorsun. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"We focus on long term goals, whereas they chase quick wins.","Biz uzun vadeli hedeflere odaklanıyoruz, oysa onlar çabuk kazanmalarla ilgilendi.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
"You see only the risks, but I notice the potential benefits.",Sadece riske bakıyorsun ama ben potansiyel faydalara dikkat ediyorum. ​​​​​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He reacts emotionally, while she responds in a very logical way.",O duygusal olarak tepki gösterirken o çok mantıklı bir şekilde cevap veriyor. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"I try to resolve conflicts gently, whereas you confront issues directly.","Ben anlaşmazlıkları yumuşak bir şekilde çözmeye çalışırım, sen ise konulara doğrudan yaklaşırsın. Bu iki farklı yaklaşıma rağmen, ben seninle aynı fikirde olmayı tercih ederim. İki farklı yaklaşımın var olduğu için, bu iki yaklaşımı da ayrı"
"She invests in experiences, while he spends most of his money on gadgets.","O, deneyimlerdeki yatırımlara devam ederken o, para çoğunun üzerinde robotlar ve akıllı cihazlarla harcar. O, bir zamanlar onunla birlikte harcamıştı. Şimdi ise yalnız başına harcıyor. O, her zaman onunla birlikte harcamıştı. Şimdi"
"You keep everything organized, but I leave things where they land.",Sen her şeyi düzenlenmiş bir şekilde tutuyorsun ama ben şeyleri yere düşdükleri yerde bırakıyorum.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He prefers working alone, whereas she thrives in a busy team.","O yalnız çalışmayı tercih ederken o, yoğun bir takımda çiçek açıyor. ​​​​​​​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
"They celebrate every small win, but we save our energy for the big ones.",Onlar her küçük kazanışa coşkunuzu yükseltiyor fakat biz enerjiimizi büyük olanlar için saklıyoruz.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"She adapts quickly to change, but he clings to his usual routines.",O çabuk değişikliğe uyumakta fakat o her zaman rutinlerine yapışmış. ​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​
"We share information freely, whereas they guard every detail.","Biz bilgiyi serbestçe paylaşıyoruz, onlar ise her ayrıntıdan sakınıyorlar. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You treat mistakes as failures, but I treat them as practice.",Sen hataları başarısızlıklar olarak görüyorsun ama ben onları pratiğe olarak görüyorum.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
