sentence_id,source_sentence,translator,human_translations,subject_pronouns,pronoun_labels,evaluation_score,opus-tatoeba-en-tr,m2m100-418M,NLLB200-3.3B,translategemma-4b,llama3.1-IT-8B,subject_pro_human_translations,pro_labels_human_translations,subject_pro_opus-tatoeba-en-tr,pro_labels_opus-tatoeba-en-tr,subject_pro_m2m100-418M,pro_labels_m2m100-418M,subject_pro_NLLB200-3.3B,pro_labels_NLLB200-3.3B,subject_pro_translategemma-4b,pro_labels_translategemma-4b,subject_pro_llama3.1-IT-8B,pro_labels_llama3.1-IT-8B
11,"You might ignore the warning, but I take it seriously.",Translator 2,Sen uyarıyı görmezden gelebilirsin ama ben ciddiye alıyorum.,"['you', 'i']","[1, 1]",5,Uyarıyı görmezden gelebilirsiniz ama ben ciddiye alıyorum.,Bu uyarıyı görmezden gelebilirsin ama ciddiye alıyorum.,Uyarıyı görmezden gelebilirsin ama ben ciddiye alıyorum.,"Uyarıyı görmezden gelebilirsin, ancak ben bunu ciddiye alıyorum.","Uyarıyı görmezden gelebilirsiniz, ama ben ciddiye alıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
12,He came early to help; she showed up just for dessert.,Translator 1,O erkenden yardıma geldi; o da tatlı saati geldi.,"['he', 'she']","[1, 1]",5,"Yardım etmek için erken geldi, sadece tatlı için geldi.",Yardım için erken geldi; o sadece tatlı için ortaya çıktı.,"O, yardım etmek için erken geldi; o sadece tatlı için geldi.","O, yardım etmek için erken geldi; o sadece tatlı için geldi.",Erken yardım etmek için geldi; çikolata için sadece geldi.,"[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""o""]","[""0"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]"
13,"You complain about the noise, but I like the energy.",Translator 2,Sen gürültüden şikâyet ediyorsun ama ben o enerjiyi seviyorum.,"['you', 'i']","[1, 1]",5,Gürültüden şikayet ediyorsun ama ben enerjiyi seviyorum.,Sen gürültüden şikayet ediyorsun ama enerjiyi seviyorum.,Sen gürültüden şikayet ediyorsun ama ben enerjiden hoşlanıyorum.,"Siz seslerden şikayet ediyorsunuz, ama ben enerjiyi seviyorum.","Sessizlik hakkında şikayet ediyorsun, ama ben enerjiye bayılıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""sen"", ""-""]","[""1"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
14,She spends her money freely; he saves every coin.,Translator 1,O parasını özgürce harcar; o ise her kuruşu biriktirir.,"['she', 'he']","[1, 1]",5,"O parasını özgürce harcıyor, o ise her sikkeyi biriktiriyor.",Parayı özgürce harcıyor; her parayı kurtarıyor.,Kadın parayı özgürce harcar; erkek ise her kuruşu saklar.,"O, parasıyla harcayıp durur; o ise her kuruşunu biriktirir.",Parasını keyfiyle harcıyor; o her para birliğini biriktirir.,"[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""kadın"", ""erkek""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
15,You want comfort; I seek adventure.,Translator 1,Sen rahatlık istersin; ben macera.,"['you', 'i']","[1, 1]",5,"Sen teselli istiyorsun, ben macera arıyorum.",Sen rahatlık istiyorsun; ben macera arıyorum.,"Sen rahatlık istiyorsun, bense macera.",Siz rahatlığı istiyorsunuz; ben macerayı arıyorum.,Siz rahatlık istiyorsunuz; ben macera arıyorum.,"[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]"
16,He treats life like a race; she treats it like a journey.,Translator 2,O hayatı bir yarış gibi görüyor; o ise bir yolculuk gibi.,"['he', 'she']","[1, 1]",5,"O hayata bir ırkmış gibi davranır, o ise ona bir yolculukmuş gibi davranır.",Hayatı bir ırk gibi muamele eder; onu bir yolculuk gibi muamele eder.,"O, hayata bir yarış gibi davranır; o ise bir yolculuk gibi.",Hayatı bir yarış gibi görüyor; hayatı ise bir yolculuk gibi görüyor.,Hayatını bir yarış gibi görür; o ise bir seyahat gibi görür.,"[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""o""]","[""0"", ""1""]"
17,"You stay safe on the shore, but I dive into the waves.",Translator 1,"Sen kıyıda güvende kalırsın, ama ben dalgalara dalarım. ","['you', 'i']","[1, 1]",4,"Sen kıyıda güvende kal, ama ben dalgalara dalıyorum.",Sen sahilde güvende kalıyorsun ama ben dalgalara dalıyorum.,"Sen kıyıda güvende kal, bense dalgalara dalıyorum.","Sahilde güvenli bir şekilde kal, ben ise dalgalara atlıyorum.","Kumarda güvende kalırsın, ama ben dalgalara dalıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
18,She speaks with passion; he listens with patience.,Translator 1,"O, tutkuyla konuşur; o da sabırla dinler.","['she', 'he']","[1, 1]",5,"Kadın tutkuyla konuşur, o da sabırla dinler.","Aşkla konuşur, sabırla konuşur.",Kadın tutkuyla konuşur; erkekse sabırla dinler.,O tutkuyla konuşur; o ise sabırla dinler.,Onlar tutkuyla konuşur; o sabırla dinler.,"[""o"", ""o""]","[""1"", ""1""]","[""kadın"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""kadın"", ""erkek""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""onlar"", ""o""]","[""1"", ""1""]"
19,"You strive for perfection, while I aim for progress.",Translator 1,"Sen mükemmelliği hedeflerken, ben ilerlemeyi hedefliyorum.","['you', 'i']","[1, 1]",5,"Sen mükemmellik için çabalarken, ben ilerlemeyi hedefliyorum.","Sen mükemmellik için çaba sarf ediyorsun, ben ise ilerlemeyi amaçlıyorum.","Sen mükemmellik için çabalarken, ben ilerlemeyi hedefliyorum.","Siz mükemmelliği hedefliyorsunuz, ben ise ilerlemeyi.",Mükemmeliğe çabalarken ben ilerleme için çabalaıyorum.,"[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
20,"Even the shy students asked questions, while you stayed silent.",Translator 1,"Utangaç öğrenciler bile soru sordu, ama sen sessiz kaldın.",['you'],[1],5,Sen sessiz kalırken utangaç öğrenciler bile sorular sordu.,"Hatta şaşkın öğrenciler soru sordu, sessiz kalırken.",Utangaç öğrenciler bile soru sorarken sen sessiz kaldın.,"Hatta çekingen öğrenciler de sorular sorarken, siz sessiz kalmıştınız.","Hatta çekingen öğrenciler de sorular sordu, siz sessiz kaldınız.","[""sen""]","[""1""]","[""sen""]","[""1""]","[""-""]","[""0""]","[""sen""]","[""1""]","[""siz""]","[""1""]","[""siz""]","[""1""]"
21,You follow rules blindly; I question everything.,Translator 1,Sen kurallara körü körüne uyarsın; bense her şeyi sorgularım.,"['you', 'i']","[1, 1]",5,"Sen körü körüne kurallara uyuyorsun, ben her şeyi sorguluyorum.",Kuralları körce takip ediyorsun; her şeyi sorguluyorum.,"Kurallara körü körüne uyarsın, bense her şeyi sorguluyorum.",Sıra dışı kuralları körü körüne uygularsın; ben her şeyi sorgularım.,Sıradan kurallara uyun; ben her şeye soru sorarım.,"[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
22,"She trusts easily, but he doubts constantly.",Translator 2,"O kolayca güvenirken, o sürekli şüphe eder.","['she', 'he']","[1, 1]",5,Kolayca güveniyor ama adam sürekli şüphe ediyor.,Kolayca güveniyor ama sürekli şüphe ediyor.,"Kadın kolayca güvenir, ama erkek sürekli şüphe eder.","O kolay kolay kimseyi güvenmez, ama sürekli şüpheci davranır.","O kolayca güveniyor, ama o sürekli şüphe ediyor.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""adam""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""kadın"", ""erkek""]","[""1"", ""1""]","[""o"", ""-""]","[""1"", ""0""]","[""o"", ""o""]","[""1"", ""1""]"
23,You find joy in crowds; I find peace alone.,Translator 1,Sen eğlenceyi kalabalıkta bulurken; ben huzuru tek başıma bulurum.,"['you', 'i']","[1, 1]",5,"Sen neşeyi kalabalıkta bulursun, ben huzuru yalnız bulurum.",Bir kalabalıkta sevinç bulacaksın; tek başıma huzur bulacaksın.,"Sen kalabalıklarda sevinç buluyorsun, ben yalnız huzur buluyorum.",Kalabalıklar içinde keyif bulursun; ben yalnızken huzur bulurum.,Kalabalıklarda mutluluk bulursun; ben yalnızlıkta sükûnet bulurum.,"[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
24,He builds connections; she builds walls.,Translator 1,O bağlantılar kurar; o ise insanlarla arasına duvar örer.,"['he', 'she']","[1, 1]",5,"Adam bağlantı kurar, o da duvar örer.",O bağlantıları inşa eder; o duvarları inşa eder.,"O bağlantılar kurar, o duvarlar.",O bağlantılar kurar; o duvarlar öder.,O bağlantılar kurar; o duvarlar kurar.,"[""o"", ""o""]","[""1"", ""1""]","[""adam"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
25,"You avoid challenges, but I welcome them.",Translator 1,"Sen zorluklardan kaçarken, ben onlara kucak açarım.","['you', 'i']","[1, 1]",5,"Zorluklardan kaçınıyorsun, ama ben onları hoş karşılıyorum.",Sorunlardan kaçınırsınız ama hoşgeldiniz.,Sen zorluklardan kaçınıyorsun ama ben onları karşılıyorum.,"Sizin zorluklardan kaçınmanız, benim ise onları kucaklamam.","Sen zorlukları kaçınıyorsun, ama ben onları selamlıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]"
26,She writes poetry; he studies physics.,Translator 1,O şiir yazıyor; o da fizik okuyor.,"['she', 'he']","[1, 1]",5,"Kadın şiir yazıyor, adam fizik okuyor.",Şiir yazıyor; fizik eğitimi alıyor.,"O şiir yazıyor, o fizik okuyor.",O şiir yazıyor; o fizik inceliyor.,O şiir yazar; o fizik öğreniyor.,"[""o"", ""o""]","[""1"", ""1""]","[""kadın"", ""adam""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
27,"You think success is luck, but I think it’s effort.",Translator 1,"Başarının şans olduğunu düşünüyorsun, ama bence şans değil çabadır.","['you', 'i']","[0, 0]",5,"Başarının şans olduğunu düşünüyorsun, ama bence bu bir çaba.","Sizce başarı şans, ama bence çaba.",Başarının şans olduğunu düşünüyorsun ama bence çaba.,"Siz başarının şans olduğunu düşünüyorsunuz, ama ben bunun çaba olduğunu düşünüyorum.",Başkalaşım şans olduğunu düşünüyorsun ama ben gayret olduğunu düşünüyorum.,"[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""siz"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
28,"Even the youngest member contributed ideas, yet you said nothing.",Translator 1,En genç üye bile fikirler sundu ama sen hiçbir şey demedin.,['you'],[1],5,En genç üye bile fikirlere katkıda bulundu ama sen hiçbir şey söylemedin.,"En genç üye bile fikirlere katkıda bulundu, ama hiçbir şey söylemediniz.",En genç üye bile fikirlerini sundu ama sen hiçbir şey söylemedin.,"En genç üye bile fikirler sundu, ancak siz hiçbir şey söylemediniz.","En genç üye bile fikirler sunsa, hala bir şey söylemedin.","[""sen""]","[""1""]","[""sen""]","[""1""]","[""-""]","[""0""]","[""sen""]","[""1""]","[""siz""]","[""1""]","[""-""]","[""0""]"
29,"You love summer, but I yearn for winter.",Translator 2,"Sen yazı seviyorsun, ben ise kışı özlüyorum.","['you', 'i']","[1, 1]",5,Sen yazları seviyorsun ama ben kışı özlüyorum.,Yazın hoşunuza gidiyor ama kışın hoşunuza gidiyor.,"Sen yazı seviyorsun, ama ben kışı özlüyorum.","Yazı seviyorsun, ama ben kıştan yanıyorum.","Kışa tutkun olan ben, ama sen yazıyı seviyorsun.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]"
30,"He arrived early, while she didn’t even bother showing up.",Translator 1,"O gelmeye bile zahmet etmezken, o erkenden geldi.","['he', 'she']","[1, 1]",4,"Adam erken geldi, kadın gelmeye bile tenezzül etmedi.","Erken geldi, o bile ortaya çıkmaktan rahatsız etmedi.","Erken geldi, o ise gelmek için zahmet bile etmedi.","O erken geldi, o ise gelmeye bile bile dikkat etmedi.","Erken geldi, oysa o bile gelmemeye bile aldırmadı.","[""o"", ""o""]","[""1"", ""1""]","[""adam"", ""kadın""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]","[""-"", ""o""]","[""0"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
31,"I value honesty, but you prefer convenience.",Translator 2,"Ben dürüstlüğe değer veriyorum, sen ise kolay olanı tercih ediyorsun.","['i', 'you']","[1, 1]",4,Dürüstlüğe değer veriyorum ama sen kolaylığı tercih ediyorsun.,Ben dürüstlüğünü takdir ediyorum ama rahatlığı tercih ediyorsun.,Ben dürüstlüğe değer veriyorum ama sen kolaylığı tercih ediyorsun.,"Dürüstlüğü değer veririm, ancak siz kolaylığa öncelik veriyorsunuz.","İnançlılık değer veririm, ancak siz konforu tercih ediyorsunuz.","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""sen""]","[""0"", ""1""]","[""ben"", ""-""]","[""1"", ""0""]","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
32,"She speaks quickly, yet he takes his time to respond.",Translator 1,"O hızlı konuşuyor, ama o cevap vermekte aceleci değil.","['she', 'he']","[1, 1]",4,Çok hızlı konuşuyor ama adam cevap vermek için acele etmiyor.,Hızlı konuşuyor ama cevap vermek için zaman alıyor.,"Karısı hemen konuşuyor, ama kocası cevap vermeye çok zaman ayırıyor.","O hızlı konuşur, ancak cevap vermek için zamanını alır.",Hızlı konuşur ama o cevap vermek için zaman alır.,"[""o"", ""o""]","[""1"", ""1""]","[""-"", ""adam""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""karısı"", ""kocası""]","[""1"", ""1""]","[""o"", ""-""]","[""1"", ""0""]","[""-"", ""o""]","[""0"", ""1""]"
33,"You focus on appearance, while I care about substance.",Translator 2,"Sen dış görünüme odaklanıyorsun, ben ise özüne.","['you', 'i']","[1, 1]",4,"Sen görünüşe odaklan, ben maddeye önem veriyorum.","Görünüşe odaklanıyorsun, ben de maddeye önem veriyorum.","Sen görünüşe odaklan, bense içeriğe.","Sen görünüşe odaklanırken, ben ise içeriğe önem veriyorum.","Görünüşe odaklanıyorsunuz, ben ise içeriğe önem veriyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
34,"He reads novels, but I prefer documentaries.",Translator 2,"O roman okur, ben ise belgeselleri tercih ederim","['he', 'i']","[1, 1]",5,Roman okuyor ama ben belgeselleri tercih ederim.,Romanları okuyor ama belgeselleri tercih ediyorum.,"O roman okur, ama ben belgeselleri tercih ederim.","O romanlar okuyor, ama ben belgeselleri tercih ediyorum.","Roman okur, ama ben belgeselleri tercih ederim.","[""o"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""ben""]","[""1"", ""1""]","[""o"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
35,She practices every day; he plays only when inspired.,Translator 1,O her gün pratik yaparken o sadece ilham geldiğinde oynuyor.,"['she', 'he']","[1, 1]",5,"Her gün antrenman yapıyor, sadece ilham aldığında çalıyor.",Her gün pratik yapıyor; sadece ilham aldığında oynuyor.,O her gün pratik yapıyor; o sadece ilham aldığında çalıyor.,O her gün pratik yapar; o ise ilham aldığında oynar.,Günlük olarak pratik yapar; o ancak ilhamlandığında oynar.,"[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
36,"You find peace in silence, but I thrive on noise.",Translator 2,"Sen sessizlikte huzur buluyorsun, ben ise gürültüyle besleniyorum.","['you', 'i']","[1, 1]",5,"Sen sessizlikte huzuru bulursun, ama ben gürültüde başarılı olurum.",Sessizliğin içinde barış bulursun ama ben gürültüde gelişirim.,"Sessizliğin huzurunu bulursun, ama ben gürültüyle büyürüm.","Sessizlikte huzur buluyorsun, ama ben gürültüden besleniyorum.","Sessizlikte barış bulursun, ama ben gürültüde yaşarım.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
