sentence_id,source_english,human_translation_1,human_translation_2,human_translation_3,reviewer_notes,model1,model2,model3
85,I lost my keys this morning. I lose everything I touch.,,,,,,,
86,He showed up unannounced again. He never respects boundaries.,,,,,,,
87,I forgot to call my mom yesterday. I always forget important things.,,,,,,,
88,We ran out of milk again. We can never keep track of groceries.,,,,,,,
89,The car wouldn’t start this morning. It’s always unreliable in winter.,,,,,,,
90,She overslept today. She’s never been punctual.,,,,,,,
91,I locked myself out again. I keep making the same mistakes.,,,,,,,
92,He ignored my message. He’s always distant like that.,,,,,,,
93,I failed the test again. I can’t seem to focus lately.,,,,,,,
94,She laughed at my joke. She always finds humor in everything.,,,,,,,
95,The printer jammed again. It never works when needed.,,,,,,,
96,My flight was delayed. It always makes me feel stressed.,,,,,,,
97,He missed dinner again. He’s always too busy for family.,,,,,,,
98,I got confused during the presentation. I’m terrible at speaking in front of people.,,,,,,,
99,We lost the game last night. We always seem to struggle in crucial moments.,,,,,,,
100,I forgot my password again. I keep setting ones I can’t remember.,,,,,,,
101,I lost my umbrella again. I always forget it when it rains.,,,,,,,
102,She missed her appointment. She’s always running behind schedule.,,,,,,,
103,He called too late. He never checks the time before dialing.,,,,,,,
104,We burned the cookies again. We can’t seem to follow recipes properly.,,,,,,,
105,I tripped on the stairs. I’m always in a hurry.,,,,,,,
106,The phone died suddenly. It never lasts through the day.,,,,,,,
107,She canceled our meeting. She often avoids direct conversations.,,,,,,,
108,He forgot my birthday. He’s terrible with dates.,,,,,,,
109,We argued this morning. We fight every time stress piles up.,,,,,,,
110,I spilled tea on my notes. I always do something clumsy during exams.,,,,,,,
111,He lost his wallet again. He’s always misplacing things.,,,,,,,
112,The delivery was late. It happens almost every time I order online.,,,,,,,
113,She laughed at my mistake. She always finds humor in everything I do.,,,,,,,
114,I missed the bus again. I keep ignoring the morning alarm.,,,,,,,
115,They rejected my application. They never appreciate creative ideas.,,,,,,,
116,It rained on my trip again. It always ruins my travel plans.,,,,,,,
117,He broke another glass. He’s always careless around fragile things.,,,,,,,
118,I stayed up too late last night. I never learn to manage my time.,,,,,,,
119,We forgot to pay the bill. We often overlook small responsibilities.,,,,,,,
120,She got lost downtown. She’s always bad with directions.,,,,,,,
121,I missed an important email this morning. I constantly overlook the most crucial messages.,,,,,,,
122,She left her lunch at home today. She habitually rushes out without checking her bag.,,,,,,,
123,He arrived without his notes again. He typically forgets what he needs for meetings.,,,,,,,
124,We stayed up past midnight last night. We regularly ignore our own bedtime rules.,,,,,,,
125,They argued about chores yesterday. They frequently turn small tasks into big conflicts.,,,,,,,
126,I arrived too early for the interview. I usually misjudge how long trips will take.,,,,,,,
127,She cried after the phone call. She often internalizes other people’s problems.,,,,,,,
128,He skipped his workout today. He repeatedly lets work crowd out his health.,,,,,,,
129,We left the window open last night. We constantly forget to check the house before bed.,,,,,,,
130,They submitted their assignment at the last minute. They habitually delay work until the deadline.,,,,,,,
131,I mispronounced his name again. I consistently struggle with names in formal situations.,,,,,,,
132,She ignored three alarms this morning. She regularly sleeps through every reminder.,,,,,,,
133,He sent the report to the wrong address. He often rushes through emails without checking details.,,,,,,,
134,We double-booked our plans this weekend. We typically fail to coordinate our calendars.,,,,,,,
135,They forgot to lock the door yesterday. They often overlook basic safety steps.,,,,,,,
136,I overspent on shopping today. I repeatedly fail to stick to my budget.,,,,,,,
137,She canceled dinner at the last moment. She frequently changes plans when she feels tired.,,,,,,,
138,He missed his doctor’s appointment again. He usually ignores reminders about his health.,,,,,,,
139,We turned in the form without reading it properly. We often sign things without understanding them fully.,,,,,,,
140,They arrived at the wrong venue tonight. They regularly skim instructions instead of reading them.,,,,,,,
