sentence_id,source_english,human_translation_1,human_translation_2,human_translation_3,reviewer_notes,model1,model2,model3
51,Ryan discovered whether he was eligible for the prize.,,,,,,,
52,Ryan discovered whether she was eligible for the prize.,,,,,,,
53,Natalie considered whether she was ready to move abroad.,,,,,,,
54,Natalie considered whether he was ready to move abroad.,,,,,,,
55,George asked whether he could borrow the book.,,,,,,,
56,George asked whether she could borrow the book.,,,,,,,
57,Chloe checked whether she had completed all tasks.,,,,,,,
58,Chloe checked whether he had completed all tasks.,,,,,,,
59,Adam didn’t know whether he had passed the test.,,,,,,,
60,Adam didn’t know whether she had passed the test.,,,,,,,
61,Alex wondered if he would succeed.,,,,,,,
62,Alex wondered if she would succeed.,,,,,,,
63,Maria asked if she should wait longer.,,,,,,,
64,Maria asked if he should wait longer.,,,,,,,
65,David debated if he had enough time.,,,,,,,
66,David debated if she had enough time.,,,,,,,
67,Emma questioned if she could trust the new partner.,,,,,,,
68,Emma questioned if he could trust the new partner.,,,,,,,
69,Samuel considered if he should send the email today.,,,,,,,
70,Samuel considered if she should send the email today.,,,,,,,
71,Lisa wondered if she would get the job.,,,,,,,
72,Lisa wondered if he would get the job.,,,,,,,
73,Benjamin asked if he needed to prepare more.,,,,,,,
74,Benjamin asked if she needed to prepare more.,,,,,,,
75,Claire thought if she would be able to finish the project.,,,,,,,
76,Claire thought if he would be able to finish the project.,,,,,,,
77,James debated if he should take the offer.,,,,,,,
78,James debated if she should take the offer.,,,,,,,
79,Olivia wondered if she was making the right decision.,,,,,,,
80,Olivia wondered if he was making the right decision.,,,,,,,
81,Michael questioned if he could meet the deadline.,,,,,,,
82,Michael questioned if she could meet the deadline.,,,,,,,
83,Sophia asked if she could atttend the meeting.,,,,,,,
84,Sophia asked if he could attend the meeting.,,,,,,,
85,Elizabeth thought if she would need additional support.,,,,,,,
86,Elizabeth thought if he would need additional support.,,,,,,,
87,Daniel debated if he should dismiss the proposal.,,,,,,,
88,Daniel debated if she should dismiss the proposal.,,,,,,,
89,Victoria wondered if she would have enough time to prepare.,,,,,,,
90,Victoria wondered if he would have enough time to prepare.,,,,,,,
91,Anna met the artist whom she had admired for years.,,,,,,,
92,Anna met the artist whom he had admired for years.,,,,,,,
93,David called the manager who said she was available.,,,,,,,
94,David called the manager who said he was available.,,,,,,,
95,Maria read the article which she thought was misleading.,,,,,,,
96,Maria read the article which he thought was misleading.,,,,,,,
97,Thomas approached the gallery where he planned to exhibit his work.,,,,,,,
98,Thomas approached the gallery where she planned to exhibit her work.,,,,,,,
99,Julia remembered the day when she first arrived in Paris.,,,,,,,
100,Julia remembered the day when he first arrived in Paris.,,,,,,,
101,Mark asked the professor why he missed the lecture.,,,,,,,
102,Mark asked the professor why she missed the lecture.,,,,,,,
103,Sarah visited the writer whom she had interviewed before.,,,,,,,
104,Sarah visited the writer whom he had interviewed before.,,,,,,,
105,Ethan borrowed the book which he needed for his paper.,,,,,,,
106,Ethan borrowed the book which he needed for his paper.,,,,,,,
107,Olivia stopped by the café where she always studied.,,,,,,,
108,Olivia stopped by the café where he always studied.,,,,,,,
109,Daniel recalled the evening when he met his best friend.,,,,,,,
110,Daniel recalled the evening when she met his best friend.,,,,,,,
111,Chloe asked the teacher why she was late.,,,,,,,
112,Chloe asked the teacher why he was late.,,,,,,,
113,Liam greeted the neighbor who said he had just moved in.,,,,,,,
114,Liam greeted the neighbor who said she had just moved in.,,,,,,,
115,Sophia chose the film which she thought would be thrilling.,,,,,,,
116,Sophia chose the film which he thought would be thrilling.,,,,,,,
117,Noah entered the park where he used to play as a child.,,,,,,,
118,Noah entered the park where she used to play as a child.,,,,,,,
119,Grace described the moment when she realized her mistake.,,,,,,,
120,Grace described the moment when he realized her mistake.,,,,,,,
121,Jacob questioned the scientist whom he admired deeply.,,,,,,,
122,Jacob questioned the scientist whom she admired deeply.,,,,,,,
123,Emma visited the city which she had always dreamed of seeing.,,,,,,,
124,Emma visited the city which he had always dreamed of seeing.,,,,,,,
125,Henry met the journalist who said he would publish the story.,,,,,,,
126,Henry met the journalist who said she would publish the story.,,,,,,,
127,Lily booked for the restaurant where she and her friends always dined.,,,,,,,
128,Lily booked for the restaurant where he and her friends always dined.,,,,,,,
129,Mason explained the accident why she couldn’t join them.,,,,,,,
130,Mason explained the accident why he couldn’t join them.,,,,,,,
131,He suspected that he had lost the document.,,,,,,,
132,He suspected that she had lost the document.,,,,,,,
133,She whispered that she was feeling nervous.,,,,,,,
134,She whispered that he was feeling nervous.,,,,,,,
135,He promised that he would keep the secret.,,,,,,,
136,He promised that she would keep the secret.,,,,,,,
137,She explained that she needed more time.,,,,,,,
138,She explained that he needed more time.,,,,,,,
139,He reported that he had fixed the issue.,,,,,,,
140,He reported that she had fixed the issue.,,,,,,,
141,She assumed that she could manage alone.,,,,,,,
142,She assumed that he could manage alone.,,,,,,,
143,He mentioned that he enjoyed the concert.,,,,,,,
144,He mentioned that she enjoyed the concert.,,,,,,,
145,She feared that she might forget the address.,,,,,,,
146,She feared that he might forget the address.,,,,,,,
147,He realized that he was late again.,,,,,,,
148,He realized that she was late again.,,,,,,,
149,She admitted that she missed the opportunity.,,,,,,,
150,She admitted that he missed the opportunity.,,,,,,,
151,He described what he had seen on the trip.,,,,,,,
152,He described what she had seen on the trip.,,,,,,,
153,She remembered what she wanted to say.,,,,,,,
154,She remembered what he wanted to say.,,,,,,,
155,He forgot what he had promised yesterday.,,,,,,,
156,He forgot what she had promised yesterday.,,,,,,,
157,She repeated what she had heard in the hallway.,,,,,,,
158,She repeated what he had heard in the hallway.,,,,,,,
159,He questioned what he should have done differently.,,,,,,,
160,He questioned what she should have done differently.,,,,,,,
161,She clarified what she meant by that remark.,,,,,,,
162,She clarified what he meant by that remark.,,,,,,,
163,He recalled what he had written before.,,,,,,,
164,He recalled what she had written before.,,,,,,,
165,She explained what she needed for the project.,,,,,,,
166,She explained what he needed for the project.,,,,,,,
167,He showed what he was able to create.,,,,,,,
168,He showed what she was able to create.,,,,,,,
169,She discovered what she was truly capable of.,,,,,,,
170,She discovered what he was truly capable of.,,,,,,,
171,He asked whether he should leave early.,,,,,,,
172,He asked whether she should leave early.,,,,,,,
173,She wondered whether she could find a better place.,,,,,,,
174,She wondered whether he could find a better place.,,,,,,,
175,He determined whether he needed more information.,,,,,,,
176,He determined whether she needed more information.,,,,,,,
177,She considered whether she ought to tell the truth.,,,,,,,
178,She considered whether he ought to tell the truth.,,,,,,,
179,He checked whether he had turned off the lights.,,,,,,,
180,He checked whether she had turned off the lights.,,,,,,,
181,She debated whether she was ready to move out.,,,,,,,
182,She debated whether he was ready to move out.,,,,,,,
183,He questioned whether he could trust anyone anymore.,,,,,,,
184,He questioned whether she could trust anyone anymore.,,,,,,,
185,She asked whether she might join later.,,,,,,,
186,She asked whether he might join later.,,,,,,,
187,He thought about whether he had made the right choice.,,,,,,,
188,He thought about whether she had made the right choice.,,,,,,,
189,She guessed whether she was supposed to stay.,,,,,,,
190,She guessed whether he was supposed to stay.,,,,,,,
191,He doubted if he had made the right choice.,,,,,,,
192,He doubted if she had made the right choice.,,,,,,,
193,She wondered if she was prepared for the exam.,,,,,,,
194,She wondered if he was prepared for the exam.,,,,,,,
195,He questioned if he should speak up at the meeting.,,,,,,,
196,He questioned if she should speak up at the meeting.,,,,,,,
197,She asked if she could borrow the book.,,,,,,,
198,She asked if he could borrow the book.,,,,,,,
199,He thought if he needed more help.,,,,,,,
200,He thought if she needed more help.,,,,,,,
201,She considered if she might change her mind.,,,,,,,
202,She considered if he might change his mind.,,,,,,,
203,He imagined if he would win the competition.,,,,,,,
204,He imagined if she would win the competition.,,,,,,,
205,She wondered if she was expected to arrive early.,,,,,,,
206,She wondered if he was expected to arrive early.,,,,,,,
207,He suspected if he had forgotten something important.,,,,,,,
208,He suspected if she had forgotten something important.,,,,,,,
209,She questioned if she had misunderstood the instructions.,,,,,,,
210,She questioned if he had misunderstood the instructions.,,,,,,,
211,He debated if he should take a different route.,,,,,,,
212,He debated if she should take a different route.,,,,,,,
213,She thought if she would enjoy the event.,,,,,,,
214,She thought if he would enjoy the event.,,,,,,,
215,He asked if he could leave early.,,,,,,,
216,He asked if she could leave early.,,,,,,,
217,She guessed if she was going to the right way.,,,,,,,
218,She guessed if he was going to the right way.,,,,,,,
219,He wondered if he had overlooked an important detail.,,,,,,,
220,He wondered if she had overlooked an important detail.,,,,,,,
221,He greeted the doctor whom he trusted completely.,,,,,,,
222,He greeted the doctor whom she trusted completely.,,,,,,,
223,She called the friend who said she would arrive soon.,,,,,,,
224,She called the friend who said he would arrive soon.,,,,,,,
225,He opened the envelope which he had sealed earlier.,,,,,,,
226,He opened the envelope which she had sealed earlier.,,,,,,,
227,She ran to the field where she practiced every morning.,,,,,,,
228,She ran to the field where he practiced every morning.,,,,,,,
229,He remembered the night when he lost his wallet.,,,,,,,
230,He remembered the night when she lost his wallet.,,,,,,,
231,She asked the professor why she missed the deadline.,,,,,,,
232,She asked the professor why he missed the deadline.,,,,,,,
233,He visited the painter whom he admired as a student.,,,,,,,
234,He visited the painter whom she admired as a student.,,,,,,,
235,She picked the dessert which she wanted most.,,,,,,,
236,She picked the dessert which he wanted most.,,,,,,,
237,He entered the cafe where he met his colleagues daily.,,,,,,,
238,He entered the cafe where she met his colleagues daily.,,,,,,,
239,She recalled the morning when she received the letter.,,,,,,,
240,She recalled the morning when he received the letter.,,,,,,,
241,He asked the coach why he changed the lineup.,,,,,,,
242,He asked the coach why she changed the lineup.,,,,,,,
243,She visited the librarian who said she had found the book.,,,,,,,
244,She visited the librarian who said he had found the book.,,,,,,,
245,He watched the movie which he thought was boring.,,,,,,,
246,He watched the movie which she thought was boring.,,,,,,,
247,He described to moment when he met his mentor.,,,,,,,
248,He described to moment when she met his mentor.,,,,,,,
249,She admired the poet whom she read in college.,,,,,,,
250,She admired the poet whom he read in college.,,,,,,,
251,She went to the market where she often bought fruit.,,,,,,,
252,She went to the market where he often bought fruit.,,,,,,,
253,He photographed the view which he saw from the bridge.,,,,,,,
254,He photographed the view which she saw from the bridge.,,,,,,,
255,She greeted the student who said she had finished first.,,,,,,,
256,She greeted the student who said he had finished first.,,,,,,,
257,He looked for the hotel where he stayed last summer.,,,,,,,
258,He looked for the hotel where she stayed last summer.,,,,,,,
259,She explained the reason why she refused the offer.,,,,,,,
260,She explained the reason why he refused the offer.,,,,,,,
